code,title,observed,n_studies,estimate,posterior_std
29-1081.00,Podiatrists,,,0.2289,1.0111
29-1122.00,Occupational Therapists,,,0.2457,1.0048
29-1122.01,Low Vision Therapists; Orientation and Mobility Specialists; and Vision Rehabilitation Therapists,,,0.2504,1.0036
29-1123.00,Physical Therapists,,,0.2452,1.0129
29-1124.00,Radiation Therapists,,,0.2443,1.0066
29-1125.00,Recreational Therapists,,,0.2625,1.0109
29-1126.00,Respiratory Therapists,,,0.2375,1.0092
29-1127.00,Speech-Language Pathologists,,,0.2366,1.0034
29-1128.00,Exercise Physiologists,,,0.2478,1.0073
29-1129.01,Art Therapists,,,0.3967,1.0023
29-1129.02,Music Therapists,,,0.3581,1.0038
29-1131.00,Veterinarians,,,0.2206,1.0028
29-1141.00,Registered Nurses,,,0.2444,1.0064
29-1141.01,Acute Care Nurses,,,0.2379,1.0085
29-1141.02,Advanced Practice Psychiatric Nurses,,,0.2403,1.0089
29-1141.03,Critical Care Nurses,,,0.2436,1.0187
29-1141.04,Clinical Nurse Specialists,,,0.247,1.005
29-1151.00,Nurse Anesthetists,,,0.2401,1.0112
29-1161.00,Nurse Midwives,,,0.2441,1.007
29-1171.00,Nurse Practitioners,,,0.2317,1.003
29-1181.00,Audiologists,,,0.2462,1.0047
29-1211.00,Anesthesiologists,,,0.2269,1.0037
29-1213.00,Dermatologists,,,0.2314,1.007
29-1214.00,Emergency Medicine Physicians,,,0.2318,1.0048
29-1215.00,Family Medicine Physicians,,,0.2441,1.0077
29-1216.00,General Internal Medicine Physicians,,,0.2385,1.0088
29-1217.00,Neurologists,,,0.2234,1.0019
29-1218.00,Obstetricians and Gynecologists,,,0.2333,1.0075
29-1221.00,Pediatricians; General,,,0.2412,1.0117
29-1222.00,Physicians; Pathologists,,,0.2436,1.0029
29-1223.00,Psychiatrists,,,0.2444,1.0039
29-1224.00,Radiologists,-0.0377511282036037,1.0,-0.035,0.0995
29-1229.01,Allergists and Immunologists,,,0.2332,1.0036
29-1229.02,Hospitalists,,,0.2352,1.0089
29-1229.03,Urologists,,,0.2217,1.0041
29-1229.04,Physical Medicine and Rehabilitation Physicians,,,0.2373,1.0042
29-1229.05,Preventive Medicine Physicians,,,0.2353,1.0011
29-1229.06,Sports Medicine Physicians,,,0.2312,1.0063
29-1241.00,Ophthalmologists; Except Pediatric,,,0.2189,1.0035
29-1291.00,Acupuncturists,,,0.2446,1.0122
29-1292.00,Dental Hygienists,,,0.2534,1.008
29-1299.01,Naturopathic Physicians,,,0.2386,1.0047
29-1299.02,Orthoptists,,,0.2456,1.0031
29-2011.00,Medical and Clinical Laboratory Technologists,,,0.2248,1.003
29-2011.01,Cytogenetic Technologists,,,0.2354,1.0057
29-2011.02,Cytotechnologists,,,0.2221,1.0036
29-2011.04,Histotechnologists,,,0.2351,1.0034
29-2012.00,Medical and Clinical Laboratory Technicians,,,0.2277,1.0018
29-2012.01,Histology Technicians,,,0.2348,1.0032
29-2031.00,Cardiovascular Technologists and Technicians,,,0.2398,1.0133
29-2032.00,Diagnostic Medical Sonographers,,,0.2454,1.0046
29-2033.00,Nuclear Medicine Technologists,,,0.2445,1.0116
29-2034.00,Radiologic Technologists and Technicians,,,0.2438,1.0205
29-2035.00,Magnetic Resonance Imaging Technologists,,,0.2381,1.0072
29-2036.00,Medical Dosimetrists,,,0.2245,1.001
29-2051.00,Dietetic Technicians,,,0.2484,1.0086
29-2052.00,Pharmacy Technicians,,,0.2531,1.0021
29-2053.00,Psychiatric Technicians,,,0.244,1.0185
29-2055.00,Surgical Technologists,,,0.2485,1.0058
29-2056.00,Veterinary Technologists and Technicians,,,0.2452,1.0097
29-2057.00,Ophthalmic Medical Technicians,,,0.2469,1.0061
29-2061.00,Licensed Practical and Licensed Vocational Nurses,,,0.2341,1.0083
29-2081.00,Opticians; Dispensing,,,0.2516,1.009
29-2091.00,Orthotists and Prosthetists,,,0.241,1.0055
29-2092.00,Hearing Aid Specialists,,,0.2509,1.0056
29-2099.01,Neurodiagnostic Technologists,,,0.2439,1.0073
